94 Ave B,10003,40.72459595,-73.98158491,Mon,Open 24 hours,Takes Reservations,No,4.5 star rating,209
25 Ave A,10009,40.7229485,-73.9859281,Mon,10:00 am - 4:00 am,Takes Reservations,No,4.0 star rating,74
15 Ave B,10009,40.72182,-73.983287,Mon,8:00 am - 11:00 pm,Takes Reservations,No,4.0 star rating,236
116 Ave C,10009,40.7243943,-73.9785172,Mon,5:00 pm - 11:00 pm,Takes Reservations,Yes,4.0 star rating,231
149 Ave C,10009,40.7255543,-73.9779834,Mon,9:00 am - 8:00 pm,Takes Reservations,No,4.0 star rating,64
215 Ave A,10009,40.73009491,-73.9809494,Mon,10:00 am - 12:00 am,Takes Reservations,No,4.0 star rating,217
27 Avenue B,10009,40.72238541,-73.98291016,Mon,11:00 am - 12:00 am,Takes Reservations,No,4.0 star rating,87
29 Ave B,10009,40.7224127,-73.9829008,Mon,Closed,Takes Reservations,No,4.0 star rating,187
523 E 12th St,10009,40.7288039,-73.980079,Mon,7:30 am - 6:00 pm,Takes Reservations,No,4.0 star rating,177
212 Ave B,10009,40.7286618,-73.9787799,Mon,7:30 am - 8:00 pm,Takes Reservations,No,4.0 star rating,240
957 2nd Avenue,10022,40.7275043,-73.9800645,Mon,4:00 pm - 10:00 pm,Takes Reservations,No,4.5 star rating,10
516 E 6th St,10009,40.7248638,-73.9831318,null,null,Takes Reservations,No,4.5 star rating,20
105 Ave B,10009,40.7248154,-73.9812033,Mon,10:30 am - 8:30 pm,Takes Reservations,No,4.0 star rating,59
114 E 1st St,10009,40.722743,-73.98658,null,null,Takes Reservations,No,4.5 star rating,245
145 Ave A,10009,40.7274098,-73.9827532,Mon,8:00 am - 12:00 am,Takes Reservations,Yes,3.5 star rating,199
125 E 7th St,10009,40.726379,-73.984115,Mon,12:00 pm - 10:00 pm,Accepts Credit Cards,Yes,4.0 star rating,1068
422 E 9th St,10009,40.7276404,-73.9838166,Mon,12:00 pm - 10:00 pm,Accepts Credit Cards,Yes,4.5 star rating,138
115 St. Marks Pl,10009,40.7270094,-73.9838994,Mon,7:00 am - 12:00 am,Accepts Credit Cards,Yes,4.5 star rating,51
113 Ave A,10009,40.726324,-73.983699,Mon,Open 24 hours,Accepts Credit Cards,Yes,4.5 star rating,160
165 Ave A,10009,40.728228,-73.982291,Mon,7:00 am - 8:00 pm,Accepts Credit Cards,No,4.0 star rating,320
441 E 12th St,10009,40.72929138,-73.98174047,Mon,7:30 am - 11:00 pm,Accepts Credit Cards,Yes,4.0 star rating,322
280 E 10th St,10009,40.727959,-73.983072,Mon,12:00 pm - 8:00 pm,Accepts Credit Cards,Yes,4.0 star rating,92
122 St. Marks Pl,10009,40.7268125,-73.9838992,null,null,Accepts Credit Cards,Yes,4.5 star rating,31
199 Ave A,10009,40.729393,-73.981352,Mon,12:00 pm - 12:00 am,Accepts Credit Cards,Yes,4.5 star rating,76
96 Ave C,10009,40.72365,-73.9788389,Mon,12:00 pm - 12:00 am,Accepts Credit Cards,Yes,4.5 star rating,96
191 E Houston St,10002,40.7224975,-73.9877076,Mon,11:00 am - 5:00 am,Takes Reservations,No,3.0 star rating,5
700 E 9th St,10009,40.7252361,-73.9779245,Mon,7:00 am - 8:00 pm,Accepts Credit Cards,No,4.0 star rating,227
442 E 14th St,10009,40.7302941,-73.9808057,Mon,Open 24 hours,Takes Reservations,No,3.0 star rating,54
242 E 3rd St,10009,40.721824,-73.981601,null,null,Accepts Credit Cards,Yes,4.5 star rating,15
85 Ave A,10009,40.725358,-73.98443,Mon,8:00 am - 11:00 pm,Takes Reservations,No,4.0 star rating,85
422 E 14th St,10009,40.730623,-73.981627,null,null,Accepts Credit Cards,No,4.5 star rating,21
123 E 7th St,10009,40.7264532,-73.9841461,Mon,12:00 pm - 11:00 pm,Accepts Credit Cards,Yes,4.5 star rating,61
240 E Houston St,10009,40.722266,-73.9858669,Mon,7:00 am - 11:00 pm,Accepts Credit Cards,Yes,3.5 star rating,51
Ave A between E 7th and E 8th St,10009,40.7242625,-73.9779955,null,null,Accepts Credit Cards,No,3.5 star rating,9
191 Ave A,10009,40.7290144,-73.9815211,null,null,Takes Reservations,No,3.0 star rating,7
32 Ave C,10009,40.7215883,-73.980668,null,null,Accepts Credit Cards,No,4.0 star rating,12
32 Ave B,10009,40.722601,-73.983287,null,null,Takes Reservations,No,3.5 star rating,6
50 Avenue A,10009,40.723804,-73.984864,Mon,7:00 am - 7:00 pm,Accepts Credit Cards,No,4.0 star rating,65
542 E 14th St,10009,40.7295941,-73.9784687,null,null,Accepts Credit Cards,Yes,4.5 star rating,4
102 St Marks Pl,10009,40.7270843,-73.9846762,Mon,10:30 am - 1:00 am,Accepts Credit Cards,Yes,3.5 star rating,265
189 Bridge St,11201,40.69804648,-73.98476842,Mon,9:00 am - 10:00 pm,Takes Reservations,Yes,4.0 star rating,13
433 E 9th St,10009,40.72775269,-73.98327637,Mon,8:00 am - 6:00 pm,Accepts Credit Cards,No,4.0 star rating,63
